,Teams,Scores
10,Watford,0.0
54,Milan,11.51
11,Crystal Palace,12.81
22,SV Werder Bremen,14.68
59,Bologna,14.88
29,AS Saint-Étienne,15.46
17,FC Schalke 04,17.82
6,West Ham United,18.89
26,AS Monaco,19.01
3,Manchester City,19.36
30,Stade Rennais FC,19.66
53,Sassuolo,21.73
34,Olympique de Marseille,21.91
47,SD Eibar,22.43
61,Udinese,23.23
44,Real Betis,23.4
48,Juventus,23.76
56,Genoa,23.99
15,Bayer 04 Leverkusen,24.12
32,FC Girondins de Bordeaux,24.3
1,Arsenal,24.36
41,RC Celta,24.44
43,Real Sociedad,25.26
16,Borussia Mönchengladbach,26.28
19,Hertha BSC,26.78
9,Everton,26.81
58,Atalanta,27.02
52,Fiorentina,29.34
60,Sampdoria,30.16
21,FC Augsburg,30.48
27,OGC Nice,30.78
35,FC Nantes,30.87
20,VfL Wolfsburg,31.08
57,Torino,32.85
0,Leicester City,33.63
55,Lazio,35.08
12,Bournemouth,35.27
25,Olympique Lyonnais,35.33
46,RCD Espanyol,35.36
14,Borussia Dortmund,35.82
50,Roma,37.72
8,Chelsea,37.94
42,Sevilla FC,38.6
23,TSG 1899 Hoffenheim,39.56
33,Montpellier HSC,41.79
31,Angers SCO,41.91
28,LOSC Lille,44.81
4,Manchester United,44.85
40,Athletic Club de Bilbao,45.79
5,Southampton,46.71
39,Villarreal CF,47.81
51,Inter,49.92
2,Tottenham Hotspur,51.52
49,Napoli,52.84
18,1. FSV Mainz 05,53.12
45,Valencia CF,53.57
24,Paris Saint-Germain,54.39
38,Atlético Madrid,59.5
13,FC Bayern München,65.4
7,Liverpool,69.88
37,Real Madrid,78.92
36,FC Barcelona,100.0
